dox	time	image	cell	c_area	n_area	Fli1	Cdh5	Flk1	Etv2	Pdgfra	Snail1	FP	n_Fli1	n_Cdh5	n_Flk1	n_Etv2	n_Pdgfra	n_Snail1	n_FP	p_Etv2
91	100	6	3	6	24823	11768	0.000120855658059058	4.02852193530194e-05	0.000362566974177174	0.00858075172219313	0.000563993070942271	0.000362566974177174	0	0	0	0	0	0	0	0	0.0458331067301156
92	100	6	3	7	45262	16789	0	6.62807653219036e-05	4.41871768812691e-05	6.62807653219036e-05	0	0.000287216649728249	0	0	0	0	0	0	0	0	0.0359138126154029
93	100	6	3	8	37053	14729	0.000296872048147249	2.69883680133862e-05	0.00132243003265593	0.00218605780908428	0	0.000269883680133862	0	0	0	0	0	0	0	0	0.0494823138027022
94	100	6	3	9	31132	14817	0	9.63638699730181e-05	0	0.000803032249775151	3.2121289991006e-05	0.00016060644995503	0	0	0	0	0	0	0	0	0.0391914017682392
95	100	6	3	10	25978	9600	3.84941104011086e-05	0.000192470552005543	7.69882208022173e-05	0.000423435214412195	0	0.000115482331203326	0	0	0	0	0	0	0	0	0.0424327083333333
96	100	6	3	11	28213	12054	0	0	0	0.000177223265870343	0	0.0017013433523553	0	0	0	0	0	0	0	0	0.0382229965156794
97	100	6	3	12	29317	12701	0	0	0.000170549510522905	0.000102329706313743	0.000102329706313743	0.00034109902104581	0	0	0	0	0	0	0	0	0.0393308400913314
98	100	6	3	13	47974	15976	0.0008754742151999	0.00043773710759995	0.00114645432942844	0.0109434276899987	4.16892483428524e-05	0.000229290865885688	4.16892483428524e-05	1	0	1	0	0	0	0	0.0498429519278918
99	100	6	3	14	11804	8925	0	8.4717045069468e-05	0.00042358522534734	0	0	8.4717045069468e-05	0	0	0	0	0	0	0	0	0.0433531652661064
100	100	6	3	15	43635	19185	0	4.58347656697605e-05	0	0.000183339062679042	0	0.00105419961040449	0	0	0	0	0	0	0	0	0.0390553557466771
101	100	6	3	16	26487	14449	0.000264280590478348	7.55087401366708e-05	0.00120813984218673	0	0	0	0	0	0	0	0	0	0	0	0.0508687798463562
